Status Proposta;ID CONTRATO
Finalizada;2091970
Aberta;2093989
Finalizada;2091864
Aberta;2093988
Finalizada;2096262
Aberta;2093983
Aberta;2104158
Aberta;2104095
Aberta;2093980
Finalizada;2093971
Finalizada;2103992
Aberta;2093961
Aberta;2103897
Finalizada;2093923
Finalizada;2103870
Finalizada;2093875
Finalizada;2103799
Aberta;2093860
Finalizada;2103489
Finalizada;2093835
Finalizada;2103272
Aberta;2093826
Finalizada;2093698
Finalizada;2103005
Finalizada;2102954
Finalizada;2102634
Finalizada;2102558
Aberta;2088684
Finalizada;2102247
Aberta;2107325
Finalizada;2093900
Aberta;2106512
Aberta;2106450
Aberta;2108046
Aberta;2093843
Aberta;2107734
Aberta;2107711
Aberta;2110437
Aberta;2110411
Aberta;2110389
Finalizada;2093808
Finalizada;2110282
Finalizada;2110235
Finalizada;2110144
Finalizada;2093734
Finalizada;2110068
Aberta;2093732
Finalizada;2109789
Aberta;2093728
Finalizada;2109628
Finalizada;2093715
Finalizada;2108479
Finalizada;2107970
Finalizada;2093690
Finalizada;2107769
Aberta;2093679
Aberta;2110822
Finalizada;2093621
Aberta;2112052
Finalizada;2093599
Aberta;2111878
Aberta;2111396
Aberta;2111179
Aberta;2110569
Aberta;2112287
Finalizada;2112284
Aberta;2112242
Finalizada;2111936
Finalizada;2111772
Finalizada;2093486
Aberta;2093484
Finalizada;2111716
Finalizada;2111150
Finalizada;2113757
Aberta;2113070
Finalizada;2114322
Finalizada;2114313
Finalizada;2093435
Finalizada;2113705
Finalizada;2113528
Aberta;2093415
Finalizada;2113478
Aberta;2116110
Aberta;2116075
Aberta;2116028
Aberta;2115939
Finalizada;2093245
Finalizada;2116040
Finalizada;2115981
Aberta;2116759
Aberta;2116449
Aberta;2093144
Aberta;2118412
Aberta;2118297
Aberta;2117984
Aberta;2119968
Aberta;2120820
Aberta;2120729
Aberta;2120036
Finalizada;2119934
Aberta;2092880
Finalizada;2119587
Aberta;2092858
Aberta;2119256
Finalizada;2119154
Aberta;2118774
Aberta;2121141
Aberta;2119690
Aberta;2121294
Aberta;2121593
Finalizada;2123555
Finalizada;2123554
Finalizada;2123498
Finalizada;2123396
Finalizada;2123377
Finalizada;2123367
Finalizada;2123332
Finalizada;2123267
Aberta;2123243
Aberta;2092463
Finalizada;2123034
Finalizada;2122291
Aberta;2092355
Aberta;2123453
Aberta;2123131
Aberta;2092321
Finalizada;2122503
Finalizada;2122493
Aberta;2092212
Finalizada;2123728
Aberta;2092103
Aberta;2124582
Aberta;2123642
Finalizada;2126044
Finalizada;2125738
Aberta;2124296
Aberta;2091910
Finalizada;2123590
Aberta;2126392
Aberta;2127450
Aberta;2126564
Aberta;2129265
Aberta;2129244
Aberta;2091692
Aberta;2129153
Aberta;2129101
Aberta;2129059
Aberta;2129006
Aberta;2129255
Aberta;2129237
Finalizada;2129199
Aberta;2129183
Aberta;2097808
Aberta;2129107
Aberta;2097806
Aberta;2129047
Aberta;2097803
Aberta;2129043
Aberta;2097802
Finalizada;2129039
Aberta;2129014
Aberta;2097798
Aberta;2129292
Finalizada;2097790
Aberta;2097788
Aberta;2097784
Aberta;2131632
Finalizada;2097748
Aberta;2131670
Finalizada;2097727
Finalizada;2097715
Finalizada;2131597
Aberta;2097712
Finalizada;2131150
Finalizada;2097693
Finalizada;2130774
Aberta;2097684
Aberta;2097661
Aberta;2097646
Finalizada;2097638
Aberta;2130471
Finalizada;2097637
Finalizada;2129677
Aberta;2097608
Finalizada;2131679
Finalizada;2097602
Finalizada;2131604
Finalizada;2097600
Aberta;2131601
Finalizada;2097599
Aberta;2131519
Aberta;2130744
Finalizada;2097584
Aberta;2130310
Finalizada;2097568
Finalizada;2097565
Aberta;2130089
Finalizada;2097553
Aberta;2130047
Finalizada;2097542
Finalizada;2129317
Finalizada;2097514
Aberta;2129300
Finalizada;2097511
Finalizada;2131695
Finalizada;2097507
Finalizada;2097505
Aberta;2132520
Aberta;2097497
Aberta;2132093
Aberta;2097490
Aberta;2134104
Finalizada;2097438
Aberta;2134015
Finalizada;2097399
Aberta;2133583
Finalizada;2097389
Aberta;2131785
Finalizada;2097345
Aberta;2131686
Finalizada;2097339
Aberta;2134101
Finalizada;2097321
Aberta;2133913
Finalizada;2133646
Finalizada;2097300
Aberta;2133322
Finalizada;2097278
Aberta;2133316
Finalizada;2097257
Aberta;2133283
Finalizada;2097214
Aberta;2133117
Finalizada;2097196
Aberta;2133107
Finalizada;2097188
Finalizada;2097170
Finalizada;2097157
Finalizada;2097153
Finalizada;2097146
Finalizada;2097108
Aberta;2136666
Finalizada;2097065
Finalizada;2136554
Finalizada;2097061
Aberta;2136540
Finalizada;2097060
Aberta;2136538
Finalizada;2097040
Aberta;2136449
Finalizada;2097032
Aberta;2136448
Finalizada;2097024
Aberta;2136443
Aberta;2136419
Finalizada;2096943
Finalizada;2096939
Finalizada;2096916
Finalizada;2096912
Aberta;2134995
Finalizada;2096890
Finalizada;2136689
Finalizada;2096875
Finalizada;2096867
Finalizada;2136517
Finalizada;2096865
Finalizada;2096858
Aberta;2136425
Finalizada;2096842
Finalizada;2136254
Aberta;2136229
Finalizada;2096788
Aberta;2136157
Finalizada;2096771
Aberta;2135846
Finalizada;2096764
Finalizada;2135739
Finalizada;2096760
Finalizada;2135625
Finalizada;2096759
Finalizada;2135426
Finalizada;2096743
Finalizada;2134761
Finalizada;2134741
Finalizada;2096736
Finalizada;2096694
Finalizada;2096669
Finalizada;2096662
Finalizada;2096640
Finalizada;2096635
Aberta;2096633
Finalizada;2096619
Finalizada;2096602
Finalizada;2096594
Finalizada;2096579
Finalizada;2096572
Finalizada;2096558
Finalizada;2096557
Finalizada;2096534
Finalizada;2096525
Finalizada;2096517
Finalizada;2096504
Finalizada;2096502
Finalizada;2096498
Finalizada;2096496
Finalizada;2096492
Finalizada;2096491
Finalizada;2096479
Finalizada;2096476
Finalizada;2096472
Finalizada;2096449
Finalizada;2096425
Finalizada;2096422
Finalizada;2096416
Finalizada;2096415
Finalizada;2096410
Finalizada;2096407
Finalizada;2096395
Finalizada;2096376
Finalizada;2096364
Finalizada;2096354
Finalizada;2096347
Finalizada;2096318
Finalizada;2096305
Finalizada;2096279
Finalizada;2096268
Finalizada;2096246
Finalizada;2096242
Finalizada;2096222
Finalizada;2096205
Finalizada;2096195
Finalizada;2096183
Finalizada;2096178
Finalizada;2096175
Finalizada;2096173
Finalizada;2096164
Finalizada;2096160
Finalizada;2096151
Finalizada;2096150
Finalizada;2096144
Finalizada;2096142
Aberta;2096137
Finalizada;2096111
Finalizada;2096101
Finalizada;2096090
Finalizada;2096061
Finalizada;2096060
Finalizada;2096055
Finalizada;2096027
Finalizada;2096024
Finalizada;2096021
Finalizada;2096008
Finalizada;2096006
Finalizada;2095991
Finalizada;2095988
Finalizada;2095967
Finalizada;2095934
Finalizada;2095913
Finalizada;2095912
Finalizada;2095896
Finalizada;2095887
Finalizada;2095869
Finalizada;2095835
Finalizada;2095817
Finalizada;2095816
Finalizada;2095814
Finalizada;2095794
Finalizada;2095790
Finalizada;2095753
Finalizada;2095738
Finalizada;2095718
Aberta;2095705
Finalizada;2095703
Finalizada;2095695
Finalizada;2095686
Finalizada;2095673
Finalizada;2095671
Finalizada;2095665
Finalizada;2095664
Aberta;2095661
Finalizada;2095652
Finalizada;2095645
Finalizada;2095642
Aberta;2095614
Aberta;2095609
Aberta;2095598
Aberta;2095586
Aberta;2095561
Aberta;2095555
Aberta;2095543
Aberta;2095530
Aberta;2095525
Aberta;2095466
Aberta;2095438
Aberta;2095434
Aberta;2095427
Aberta;2095423
Aberta;2095415
Aberta;2095411
Aberta;2095403
Aberta;2095371
Aberta;2095320
Aberta;2095304
Aberta;2095298
Aberta;2095291
Aberta;2095274
Aberta;2095244
Aberta;2095240
Aberta;2095205
Aberta;2095199
Aberta;2095181
Aberta;2095162
Aberta;2095104
Aberta;2095065
Aberta;2095023
Aberta;2095022
Aberta;2095017
Aberta;2094996
Aberta;2094948
Aberta;2094942
Aberta;2094926
Aberta;2094908
Aberta;2094881
Aberta;2094871
Aberta;2094870
Aberta;2094829
Aberta;2094783
Aberta;2094762
Aberta;2094758
Aberta;2094746
Aberta;2094722
Aberta;2094682
Aberta;2094649
Aberta;2094636
Aberta;2094632
Aberta;2094627
Aberta;2094605
Aberta;2094603
Aberta;2094555
Aberta;2094553
Aberta;2094542
Aberta;2094522
Aberta;2094521
Aberta;2094508
Aberta;2094496
Aberta;2094470
Aberta;2094434
Aberta;2094351
Aberta;2094335
Aberta;2094330
Aberta;2094321
Aberta;2094310
Aberta;2094295
Aberta;2094290
Aberta;2094269
Aberta;2094268
Aberta;2094246
Aberta;2094159
Aberta;2094124
Aberta;2094087
Aberta;2094060
Aberta;2094057
Aberta;2094050
Finalizada;2097753
Finalizada;2097697
Finalizada;2097679
Finalizada;2097541
Finalizada;2097476
Finalizada;2097391
Finalizada;2097367
Aberta;2097269
Aberta;2097136
Finalizada;2097127
Finalizada;2097074
Finalizada;2097022
Finalizada;2096960
Finalizada;2096861
Finalizada;2096838
Finalizada;2096802
Finalizada;2096748
Finalizada;2096732
Finalizada;2096721
Finalizada;2096705
Finalizada;2096668
Finalizada;2096600
Finalizada;2096577
Finalizada;2096553
Finalizada;2096547
Finalizada;2096537
Finalizada;2096450
Finalizada;2096445
Finalizada;2096444
Finalizada;2096440
Finalizada;2096421
Finalizada;2096413
Finalizada;2096400
Finalizada;2096397
Finalizada;2096385
Finalizada;2096334
Finalizada;2096326
Finalizada;2096304
Finalizada;2096261
Finalizada;2096257
Finalizada;2096253
Finalizada;2096226
Finalizada;2096225
Finalizada;2096224
Finalizada;2096217
Finalizada;2096216
Finalizada;2096213
Finalizada;2096184
Finalizada;2096100
Finalizada;2096086
Finalizada;2096035
Finalizada;2096029
Finalizada;2095989
Finalizada;2095980
Finalizada;2095944
Finalizada;2095943
Finalizada;2095908
Finalizada;2095907
Finalizada;2095872
Aberta;2095868
Finalizada;2095865
Finalizada;2095822
Finalizada;2095789
Finalizada;2095776
Finalizada;2095734
Finalizada;2095720
Finalizada;2095715
Finalizada;2095696
Finalizada;2095684
Finalizada;2095627
Finalizada;2095589
Finalizada;2095583
Finalizada;2095549
Finalizada;2095522
Finalizada;2095486
Finalizada;2095446
Finalizada;2095417
Finalizada;2095409
Finalizada;2095399
Finalizada;2095380
Finalizada;2095376
Finalizada;2095372
Finalizada;2095365
Finalizada;2095326
Finalizada;2095257
Finalizada;2095229
Finalizada;2095206
Finalizada;2095177
Finalizada;2095161
Finalizada;2095140
Finalizada;2095137
Finalizada;2095133
Finalizada;2095131
Finalizada;2095109
Finalizada;2095066
Finalizada;2094955
Aberta;2094004
Finalizada;2094954
Aberta;2094003
Finalizada;2094865
Finalizada;2094857
Aberta;2093982
Finalizada;2094844
Aberta;2093967
Finalizada;2094819
Aberta;2093953
Finalizada;2094806
Finalizada;2094615
Aberta;2093947
Finalizada;2094538
Finalizada;2094537
Aberta;2093928
Aberta;2093920
Finalizada;2094475
Finalizada;2094474
Finalizada;2093909
Finalizada;2094448
Finalizada;2093898
Finalizada;2094417
Finalizada;2094399
Finalizada;2093857
Finalizada;2094361
Finalizada;2093831
Finalizada;2093824
Finalizada;2094298
Finalizada;2093822
Finalizada;2094276
Finalizada;2093814
Finalizada;2094266
Finalizada;2093806
Finalizada;2094256
Finalizada;2094219
Finalizada;2093763
Finalizada;2094183
Finalizada;2093746
Finalizada;2094150
Finalizada;2093711
Finalizada;2094075
Finalizada;2093969
Finalizada;2093946
Finalizada;2093666
Finalizada;2093945
Finalizada;2093939
Finalizada;2093596
Finalizada;2093590
Finalizada;2093872
Finalizada;2093587
Finalizada;2093752
Finalizada;2093584
Finalizada;2093745
Finalizada;2093551
Finalizada;2093545
Finalizada;2093709
Finalizada;2093544
Finalizada;2093682
Finalizada;2093522
Finalizada;2093592
Finalizada;2093509
Finalizada;2093541
Finalizada;2093491
Finalizada;2093480
Finalizada;2093496
Finalizada;2093477
Finalizada;2093372
Finalizada;2093467
Finalizada;2093454
Finalizada;2093296
Finalizada;2093425
Finalizada;2093223
Finalizada;2093400
Finalizada;2093217
Finalizada;2093394
Finalizada;2093201
Finalizada;2093200
Finalizada;2093135
Aberta;2093207
Finalizada;2093109
Aberta;2093205
Aberta;2093189
Finalizada;2092942
Aberta;2093180
Finalizada;2092914
Aberta;2093132
Finalizada;2092897
Aberta;2093108
Finalizada;2092704
Aberta;2093100
Finalizada;2092596
Finalizada;2092525
Finalizada;2092473
Aberta;2092988
Finalizada;2092418
Aberta;2092974
Aberta;2092960
Finalizada;2092353
Aberta;2092936
Finalizada;2092180
Finalizada;2092125
Aberta;2092904
Finalizada;2091957
Aberta;2092859
Finalizada;2091947
Aberta;2092817
Finalizada;2091904
Finalizada;2092785
Finalizada;2091819
Finalizada;2092783
Finalizada;2091800
Finalizada;2092744
Finalizada;2091779
Finalizada;2092735
Finalizada;2096711
Finalizada;2092724
Finalizada;2096653
Finalizada;2092721
Finalizada;2096613
Finalizada;2092703
Aberta;2096291
Finalizada;2092698
Aberta;2095733
Finalizada;2092658
Aberta;2095632
Aberta;2095479
Aberta;2095281
Finalizada;2092595
Aberta;2095255
Finalizada;2092594
Aberta;2095090
Finalizada;2092581
Aberta;2095053
Finalizada;2092551
Aberta;2095006
Finalizada;2092528
Finalizada;2094943
Finalizada;2092521
Finalizada;2094932
Aberta;2094789
Finalizada;2092476
Aberta;2094676
Finalizada;2092471
Finalizada;2094674
